task,method,raw_method,snr_db,accuracy_mean,accuracy_std,n_seeds
c_to_d,DANN-SDAE,dann,-6.0,0.531158357771261,0.0,1
c_to_d,DANN-SDAE,dann,0.0,0.6096041055718475,0.0,1
c_to_d,DANN-SDAE,dann,6.0,0.6224340175953079,0.0,1
c_to_d,ERM-SDAE,erm,-6.0,0.4930351906158358,0.0,1
c_to_d,ERM-SDAE,erm,0.0,0.5582844574780058,0.0,1
c_to_d,ERM-SDAE,erm,6.0,0.6114369501466276,0.0,1
c_to_d,MMD-SDAE,mmd,-6.0,0.5399560117302052,0.0,1
c_to_d,MMD-SDAE,mmd,0.0,0.5854105571847508,0.0,1
c_to_d,MMD-SDAE,mmd,6.0,0.6041055718475073,0.0,1
c_to_d,Mixup-SDAE,mixup,-6.0,0.4706744868035191,0.0,1
c_to_d,Mixup-SDAE,mixup,0.0,0.5634164222873901,0.0,1
c_to_d,Mixup-SDAE,mixup,6.0,0.5997067448680352,0.0,1
d_to_a,Adaptive-SDAE-3M,proposed,-6.0,0.5370234604105572,0.0,1
d_to_a,Adaptive-SDAE-3M,proposed,0.0,0.5956744868035191,0.0,1
d_to_a,Adaptive-SDAE-3M,proposed,6.0,0.6315982404692082,0.0,1
d_to_a,CORAL-SDAE,coral,-6.0,0.42595307917888564,0.0,1
d_to_a,CORAL-SDAE,coral,0.0,0.4783724340175953,0.0,1
d_to_a,CORAL-SDAE,coral,6.0,0.500733137829912,0.0,1
d_to_a,DANN-SDAE,dann,-6.0,0.41715542521994137,0.0,1
d_to_a,DANN-SDAE,dann,0.0,0.4505131964809384,0.0,1
d_to_a,DANN-SDAE,dann,6.0,0.48167155425219943,0.0,1
d_to_a,ERM-SDAE,erm,-6.0,0.3878299120234604,0.0,1
d_to_a,ERM-SDAE,erm,0.0,0.4237536656891496,0.0,1
d_to_a,ERM-SDAE,erm,6.0,0.4497800586510264,0.0,1
d_to_a,MMD-SDAE,mmd,-6.0,0.4219208211143695,0.0,1
d_to_a,MMD-SDAE,mmd,0.0,0.4563782991202346,0.0,1
d_to_a,MMD-SDAE,mmd,6.0,0.49560117302052786,0.0,1
d_to_a,Mixup-SDAE,mixup,-6.0,0.3497067448680352,0.0,1
d_to_a,Mixup-SDAE,mixup,0.0,0.40725806451612906,0.0,1
d_to_a,Mixup-SDAE,mixup,6.0,0.438049853372434,0.0,1
d_to_b,Adaptive-SDAE-3M,proposed,-6.0,0.6407624633431085,0.0,1
d_to_b,Adaptive-SDAE-3M,proposed,0.0,0.7082111436950147,0.0,1
d_to_b,Adaptive-SDAE-3M,proposed,6.0,0.748900293255132,0.0,1
d_to_b,CORAL-SDAE,coral,-6.0,0.5780791788856305,0.0,1
d_to_b,CORAL-SDAE,coral,0.0,0.6752199413489736,0.0,1
d_to_b,CORAL-SDAE,coral,6.0,0.7214076246334311,0.0,1
d_to_b,DANN-SDAE,dann,-6.0,0.5806451612903226,0.0,1
d_to_b,DANN-SDAE,dann,0.0,0.6737536656891495,0.0,1
d_to_b,DANN-SDAE,dann,6.0,0.716275659824047,0.0,1
d_to_b,ERM-SDAE,erm,-6.0,0.5784457478005866,0.0,1
d_to_b,ERM-SDAE,erm,0.0,0.6843841642228738,0.0,1
d_to_b,ERM-SDAE,erm,6.0,0.7111436950146628,0.0,1
d_to_b,MMD-SDAE,mmd,-6.0,0.5872434017595308,0.0,1
d_to_b,MMD-SDAE,mmd,0.0,0.6873167155425219,0.0,1
d_to_b,MMD-SDAE,mmd,6.0,0.7243401759530792,0.0,1
d_to_b,Mixup-SDAE,mixup,-6.0,0.5047653958944281,0.0,1
d_to_b,Mixup-SDAE,mixup,0.0,0.6612903225806451,0.0,1
d_to_b,Mixup-SDAE,mixup,6.0,0.716275659824047,0.0,1
d_to_c,Adaptive-SDAE-3M,proposed,-6.0,0.5289589442815249,0.0,1
d_to_c,Adaptive-SDAE-3M,proposed,0.0,0.5821114369501467,0.0,1
d_to_c,Adaptive-SDAE-3M,proposed,6.0,0.6165689149560117,0.0,1
d_to_c,CORAL-SDAE,coral,-6.0,0.4571114369501466,0.0,1
d_to_c,CORAL-SDAE,coral,0.0,0.5560850439882697,0.0,1
d_to_c,CORAL-SDAE,coral,6.0,0.5876099706744868,0.0,1
d_to_c,DANN-SDAE,dann,-6.0,0.4776392961876833,0.0,1
d_to_c,DANN-SDAE,dann,0.0,0.5483870967741935,0.0,1
d_to_c,DANN-SDAE,dann,6.0,0.5802785923753666,0.0,1
d_to_c,ERM-SDAE,erm,-6.0,0.4842375366568915,0.0,1
d_to_c,ERM-SDAE,erm,0.0,0.5593841642228738,0.0,1
d_to_c,ERM-SDAE,erm,6.0,0.593475073313783,0.0,1
d_to_c,MMD-SDAE,mmd,-6.0,0.45857771260997066,0.0,1
d_to_c,MMD-SDAE,mmd,0.0,0.5487536656891495,0.0,1
d_to_c,MMD-SDAE,mmd,6.0,0.5821114369501467,0.0,1
d_to_c,Mixup-SDAE,mixup,-6.0,0.41348973607038125,0.0,1
d_to_c,Mixup-SDAE,mixup,0.0,0.5223607038123167,0.0,1
d_to_c,Mixup-SDAE,mixup,6.0,0.5634164222873901,0.0,1
