task,method,class,f1
c_to_b,MMD-SDAE,outer,0.688378978534419
c_to_b,Mixup-SDAE,healthy,0.3366336633663366
c_to_b,Mixup-SDAE,inner,0.5962036238136325
c_to_b,Mixup-SDAE,outer,0.6788588149231896
c_to_d,Adaptive-SDAE-3M,healthy,0.739240506329114
c_to_d,Adaptive-SDAE-3M,inner,0.6997725549658833
c_to_d,Adaptive-SDAE-3M,outer,0.7106892282294677
c_to_d,CORAL-SDAE,healthy,0.3086053412462908
c_to_d,CORAL-SDAE,inner,0.6170478170478171
c_to_d,CORAL-SDAE,outer,0.6853352984524688
c_to_d,DANN-SDAE,healthy,0.29012345679012347
c_to_d,DANN-SDAE,inner,0.6218762802130274
c_to_d,DANN-SDAE,outer,0.6867335562987738
c_to_d,ERM-SDAE,healthy,0.32884097035040427
c_to_d,ERM-SDAE,inner,0.623461853978671
c_to_d,ERM-SDAE,outer,0.6845485455232339
c_to_d,MMD-SDAE,healthy,0.3333333333333333
c_to_d,MMD-SDAE,inner,0.5914202415660142
c_to_d,MMD-SDAE,outer,0.6730698189878094
c_to_d,Mixup-SDAE,healthy,0.34760705289672544
c_to_d,Mixup-SDAE,inner,0.5969498910675382
c_to_d,Mixup-SDAE,outer,0.6852387843704777
d_to_a,Adaptive-SDAE-3M,healthy,0.351575456053068
d_to_a,Adaptive-SDAE-3M,inner,0.7764518695306285
d_to_a,Adaptive-SDAE-3M,outer,0.5345622119815668
d_to_a,CORAL-SDAE,healthy,0.26190476190476186
d_to_a,CORAL-SDAE,inner,0.6266404199475064
d_to_a,CORAL-SDAE,outer,0.410989010989011
d_to_a,DANN-SDAE,healthy,0.2113323124042879
d_to_a,DANN-SDAE,inner,0.6123845364351693
d_to_a,DANN-SDAE,outer,0.4
d_to_a,ERM-SDAE,healthy,0.21438645980253881
d_to_a,ERM-SDAE,inner,0.58777633289987
d_to_a,ERM-SDAE,outer,0.2800718132854578
d_to_a,MMD-SDAE,healthy,0.2028985507246377
d_to_a,MMD-SDAE,inner,0.6174957118353345
d_to_a,MMD-SDAE,outer,0.44687499999999997
d_to_a,Mixup-SDAE,healthy,0.23124231242312426
d_to_a,Mixup-SDAE,inner,0.5917882592466915
d_to_a,Mixup-SDAE,outer,0.28891509433962265
d_to_b,Adaptive-SDAE-3M,healthy,0.7424242424242424
d_to_b,Adaptive-SDAE-3M,inner,0.7904624277456648
d_to_b,Adaptive-SDAE-3M,outer,0.7914485165794066
d_to_b,CORAL-SDAE,healthy,0.37714285714285717
d_to_b,CORAL-SDAE,inner,0.7533333333333335
d_to_b,CORAL-SDAE,outer,0.7772236076475478
d_to_b,DANN-SDAE,healthy,0.30476190476190473
d_to_b,DANN-SDAE,inner,0.7395522388059702
d_to_b,DANN-SDAE,outer,0.7704185290532304
d_to_b,ERM-SDAE,healthy,0.35294117647058826
d_to_b,ERM-SDAE,inner,0.7378640776699028
d_to_b,ERM-SDAE,outer,0.7699297810821975
d_to_b,MMD-SDAE,healthy,0.40668523676880225
d_to_b,MMD-SDAE,inner,0.7532857679309051
d_to_b,MMD-SDAE,outer,0.780608052588332
d_to_b,Mixup-SDAE,healthy,0.4700239808153477
d_to_b,Mixup-SDAE,inner,0.7498104624715695
d_to_b,Mixup-SDAE,outer,0.7763431903373594
d_to_c,Adaptive-SDAE-3M,healthy,0.8027842227378191
d_to_c,Adaptive-SDAE-3M,inner,0.672396694214876
d_to_c,Adaptive-SDAE-3M,outer,0.5439999999999999
d_to_c,CORAL-SDAE,healthy,0.3604938271604939
d_to_c,CORAL-SDAE,inner,0.6228424531766434
d_to_c,CORAL-SDAE,outer,0.6168384879725086
d_to_c,DANN-SDAE,healthy,0.33149171270718236
d_to_c,DANN-SDAE,inner,0.6161802733653491
d_to_c,DANN-SDAE,outer,0.6149979053204859
d_to_c,ERM-SDAE,healthy,0.34688346883468835
d_to_c,ERM-SDAE,inner,0.618421052631579
d_to_c,ERM-SDAE,outer,0.616758826031476
d_to_c,MMD-SDAE,healthy,0.34210526315789475
d_to_c,MMD-SDAE,inner,0.6295627032887603
d_to_c,MMD-SDAE,outer,0.6080554352533565
d_to_c,Mixup-SDAE,healthy,0.37911025145067695
d_to_c,Mixup-SDAE,inner,0.6128550074738415
d_to_c,Mixup-SDAE,outer,0.5903667697746354
